FBgn;Function
FBgn0039669;OXPHOS
FBgn0017567;OXPHOS
FBgn0017567;OXPHOS
FBgn0031771;OXPHOS
FBgn0031771;OXPHOS
FBgn0034251;OXPHOS
FBgn0034251;OXPHOS
FBgn0034007;OXPHOS
FBgn0034007;OXPHOS
FBgn0030853;OXPHOS
FBgn0030853;OXPHOS
FBgn0036706;OXPHOS
FBgn0036706;OXPHOS
FBgn0085468;OXPHOS
FBgn0085468;OXPHOS
FBgn0040705;OXPHOS
FBgn0040705;OXPHOS
FBgn0052230;OXPHOS
FBgn0052230;OXPHOS
FBgn0047038;OXPHOS
FBgn0053493;OXPHOS
FBgn0047038;OXPHOS
FBgn0053493;OXPHOS
FBgn0033570;OXPHOS
FBgn0033570;OXPHOS
FBgn0025839;OXPHOS
FBgn0025839;OXPHOS
FBgn0037172;OXPHOS
FBgn0037172;OXPHOS
FBgn0035046;OXPHOS
FBgn0035046;OXPHOS
FBgn0037001;OXPHOS
FBgn0037001;OXPHOS
FBgn0019957;OXPHOS
FBgn0019957;OXPHOS
FBgn0011361;OXPHOS
FBgn0011361;OXPHOS
FBgn0034576;OXPHOS
FBgn0034576;OXPHOS
FBgn0031436;OXPHOS
FBgn0031436;OXPHOS
FBgn0029868;OXPHOS
FBgn0029868;OXPHOS
FBgn0029971;OXPHOS
FBgn0029971;OXPHOS
FBgn0058002;OXPHOS
FBgn0058002;OXPHOS
FBgn0085736;OXPHOS
FBgn0034645;OXPHOS
FBgn0034645;OXPHOS
FBgn0033961;OXPHOS
FBgn0033961;OXPHOS
FBgn0011455;OXPHOS
FBgn0011455;OXPHOS
FBgn0001989;OXPHOS
FBgn0001989;OXPHOS
FBgn0030605;OXPHOS
FBgn0030605;OXPHOS
FBgn0029888;OXPHOS
FBgn0029888;OXPHOS
FBgn0032511;OXPHOS
FBgn0032511;OXPHOS
FBgn0021967;OXPHOS
FBgn0021967;OXPHOS
FBgn0027785;OXPHOS
FBgn0027785;OXPHOS
FBgn0031505;OXPHOS
FBgn0031505;OXPHOS
FBgn0261439;OXPHOS
FBgn0261439;OXPHOS
FBgn0036222;OXPHOS
FBgn0036222;OXPHOS
FBgn0014028;OXPHOS
FBgn0014028;OXPHOS
FBgn0030975;OXPHOS
FBgn0030975;OXPHOS
FBgn0037860;OXPHOS
FBgn0037860;OXPHOS
FBgn0037873;OXPHOS
FBgn0037873;OXPHOS
FBgn0039112;OXPHOS
FBgn0039112;OXPHOS
FBgn0021906;OXPHOS
FBgn0021906;OXPHOS
FBgn0013678;OXPHOS
FBgn0013678;OXPHOS
FBgn0039651;OXPHOS
FBgn0039651;OXPHOS
FBgn0035600;OXPHOS
FBgn0035600;OXPHOS
FBgn0250814;OXPHOS
FBgn0250814;OXPHOS
FBgn0050354;OXPHOS
FBgn0050354;OXPHOS
FBgn0260008;OXPHOS
FBgn0260008;OXPHOS
FBgn0039576;OXPHOS
FBgn0039576;OXPHOS
FBgn0030733;OXPHOS
FBgn0030733;OXPHOS
FBgn0036728;OXPHOS
FBgn0036728;OXPHOS
FBgn0011227;OXPHOS
FBgn0011227;OXPHOS
FBgn0034245;OXPHOS
FBgn0034245;OXPHOS
FBgn0262842;OXPHOS
FBgn0262842;OXPHOS
FBgn0032222;OXPHOS
FBgn0032222;OXPHOS
FBgn0013676;OXPHOS
FBgn0013676;OXPHOS
FBgn0013674;OXPHOS
FBgn0013674;OXPHOS
FBgn0013675;OXPHOS
